stt,review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6722_1,Seagal needs to get back to basics breaking bones and kicking butt. No more of this slow motion crap like foreigner and in the shadows fighting like half past dead. Exit wounds showed more of his fighting skills with some wires which was ok but then he went back to b movie directors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188_10,"Sick of the current cinema output, particularly American cinema, I've been making an effort to see the Oscar-winning foreign films. That's when I came across this gem. Slow to start, it picks up nicely once war is declared. Basically an old fashioned girl-waits-for-boy-to-return-from-war-story, the performances, the cinematography make this so very much more. Why Tatyana Samojlova as the young woman didn't become an international star after this is beyond me(though she has remained successful in her own country). You take the journey with her: young, defiant impetuous young girl, who, through the ravages of war becomes a very sober, somber woman who keeps a glimmer of hope (her final scene is devastating). We love her as much as the camera does. And the camera-work! Was this the pioneer in hand-held camera work? It truly adds an immediacy to the story. And the beauty of it (like when Tatyana's character is running up stairs and next to a slatted fence). I am humbled and grateful to see this film.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5099_10,"Peter O'Toole is Arthur Chipping a Latin Teacher with strict adherence to detail and thoroughness in helping young minds grasp the meaning and definition of Latin words and phrases. He is seen as being cold and unfair and not in touch with the times. But upon meeting Stage Actress Singer Katherine Briskit (Petula Clark) not only at a late supper after a performance of London is London but at an Amphitheater in Greece his closed minded world starts to open up.<br /><br />Goodbye Mr. Chips is an MGM musical remake of the 1939 movie also from MGM. During this time musicals were out and the Hollywood studio system was in total shambles. When it premiered in New York Los Angeles and London the musical numbers were left intact but when it came to the local main street theaters world wide it was sans songs therefore making the movie shorter and gaped to the max.<br /><br />Thanks to MGM/UA Home Video under Ted Turner in the late 1980's early 1990's when VHS and Laser Disc were the main home video formats of choice the musical numbers were re-instituted and the gaps closed. Laserdisc though was the only format chosen to view Goodbye Mr. Chips in the Widescreen Letterbox Format.<br /><br />For awhile now the Original Motion Picture Soundtrack was only available on the original out of print Vinyl and Cassette Tape and can still be found today on Ebay.<br /><br />Thanks to the wonderful people at Film Score Monthly.com in 2006 the soundtrack has been digitally remastered and remixed into a 3 CD set featuring the completely reconstructed score, the original 1969 general release album score, and narrated sequences source music and interviews a plenty. You also get 1 unused song which is a real lost gem, \Tomorrow with Me\"" by Petula Clark which would have been chosen in place of \""You and I\"" before hand.<br /><br />This movie is both a classic musical and a real tribute to educators everywhere. I most certainly would buy this movie if Warner Bros. MGM and Sony would put their money where there mouth is and get this film restored from all master film sources and put it on both DVD and Blu Ray with all the bells and whistles put back into place with all the extras you can find and stuff into a release.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10313_1,We also found this movie on the discount rack and made the mistake of purchasing it because Sandra Bullock was featured on the cover. The cinematography was terrible and the back of the DVD box told more about the plot than the movie itself. Oh and I love the Uzi cam....NOT.<br /><br />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756_9,"Words alone cannot describe the sheer beauty and power of this film.<br /><br />Think \Toy Story\"". Now"," think \""Toy Story\""", circa 1934. Now, imagine the animation looks as lifelike, as fluid. Think of the movie not as something adults and children can enjoy, but imagine it as a filme-noire.<br /><br />Imagine trying to do something like that back in 1934. Somehow," \""The Mascot\"" delivers. In a story where toys come to life", and one of them is trying to deliver an orange to his sick owner, Starewicz delivers a level of animation completely unexpected. It's so fluid," you will wonder for a long time whether what you see is really stop-motion animation. <br /><br />Comparing \""Toy Story\"" and \""The Mascot\"" is an excercise in futility"," plot-wise: while \""Toy Story\"" is a children's story adults can enjoy"," \""The Mascot\"" is a dark", chilling story aimed at adults. Meaning, NO, your kids won't like it. One bit.<br /><br />Still," get it if you can. You might be able to find it along \""Vampyr\"" in DVD and LaserDisc. And prepare to be stunned at what Starewicz was able to do back in 1934 with a couple of puppets.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6622_2,"carrot top in a full length movie, enough said. only reason this doesn't get a one is through my personal voting system of only one 1 and one 10, and this is no extreme ops. horrible god awful. there are some movies that are so bad they are unintentionally funny, then there are movies that make you physically unwell and then there are those that lead to serious contemplation of suicide. burn all copies of the movie, shoot anyone who had non creative input on this movie, torture anyone with any creative input and as for the star, there are only so many things that can be said online, but he should be begging for the final ten seconds of existence with a severed head by the time the work is done.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4807_10,"Having seen 'only' about 200 Hong Kong films in my time, I have to say this film is among my very top favorites. Not only is the plot engaging (and in some ways surprising, which these days is rare for any movie), but the chemistry between the two lead actors is superb. Top notch casting! And while often even the most serious HK films tend to insert quite a bit of humor in between all the drama and action, often spoiling the mood a bit, here the jokes are kept subtle and woven into the plot, even improving character relations. The music is also very well done, and the two main themes are very beautiful. With the release of the HK special Edition, they've even cleaned the picture (first release was grainy) and the subtitles, even if the quality of the translation is still lacking (nothing new there). All in all, if you have to see a HK film that isn't directed by John Woo or have Chow Yun Fat in it, this should be at least on your short list! A truly fascinating and entertaining watch!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7173_3,"You gotta be a fan of the little man but I found Burlesque on Carmen dull, unimaginative and totally not funny.<br /><br />Chaplin is retelling the story of Carmen and plays a big role himself as Don Jose. It's a story about men and the women they love, although it's unclear why one would love such a woman as Carmen, as she is playing the men against each other.<br /><br />As I said I didn't think much of it. Chaplin made dozens and dozens of better movies so you can leave this one on the shelve.<br /><br />Oh and I'm curious what the difference is between this movie and the 1915 version... or is it just an IMDB mistake?<br /><br />On the whole: 3/10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11321_8,"Daniel Percival's \Dirty War\""", a BBC production made for television was shown recently on cable. The film has a documentary style in the way it goes after the people that caused the near holocaust in one of the big metropolis of the world, London. In fact, this film, produced in 2004 is almost a cautionary tale of the events of the following year, in which terrorists set explosive devices in the public transport that killed innocent people that were in the wrong place, at the wrong time.<br /><br />The film impresses for the pace the director and the production team gave to the project. There are no dull moments in the movie as we watch the preparation by the terrorists and the people that are following their dirty work. Although the inevitable happens, it's amazing just to think what would be the consequences if a real 'dirty bomb' was planted in such a densely populated area.<br /><br />The last images of the film have a chilling effect. The mob scenes and the way the whole area is contaminated send shivers of fear," thinking how it could possible happen anywhere.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7909_9,"This 1955 Producers' Showcase version of the musical Peter Pan with Mary Martin has the benefit of showcasing most of the original Broadway cast, including Kathleen Nolan as Wendy, who was more natural an actress than the girl they hired for the 1960 color televised play. It's a shame that most people won't sit through anything black and white anymore because in many respects this earlier production - which doesn't even show up in the IMDb listings when you put \Peter Pan\"" into the search engine! - is superior to the cutesier color version most people have watched. I obtained the original on disc and then did work on it to make it look and sound better digitally. Now when I put the 1960 color version on it looks garish in comparison. I suspect Mary Martin herself no doubt preferred this original 1955 b/w Producers' Showcase televised version.<br /><br />As an added plus the disc I got also showed the original commercials and opening promo. How far away the 1950's seem now - such an innocent time compared to today. I miss it.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8012_7,"me and a coupla friends form university - alberto lopez, dave hall, celina alcock (we graduated from uea, norwich, uk in 1997) still get together and watch b-movies once a month.<br /><br />We are consummate experts in the art of bad movie-making, and this film was quickly placed in the top 10 of awful/brilliant movies.<br /><br />so if you've just got the beers and weed in, and need a film to laugh like a drain at, DROID GUNNER aka PHOENIX 2 is the film for you! Marc Singer is totally aware he's in a turkey of a film here, and milks it for everything he can! Matthius Hues is sublime in his wooden acting and musclebound moronity (is that a word??) as he grunts \But I want my 20 thousand!\"" Pure Shlock Gold! If you liked this", also see: TRANCERS, THE RUNESTONE," DOLLMAN and anything by Charles Band or Fred Olen Ray.....(but be warned: some of their films are completely and utterly without merit and you'll be screaming for those lost hours of your life!!!?!).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8615_4,"I watched this movie tonight and I do need to say that it is horrible! I expected it to be great, because you know, usually we don't have many movies about Asian vampires mixed with Asian culture; but already in the beginning it started in a bad way: the introduction of the movie seemed not to have an end! The plot is so weak and if you take the fights and the soundtrack off, you really don't have anything useful at all! The director of this film doesn't look to have some important notions about how much time to spend in introduction and flashbacks for example.( not to mention some other things)<br /><br />For people like me, who wants to watch a great vampire movie, I really recommend to watch ''Lost Boys'' or ''The Interview with the vampire''.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8117_10,"I saw this film at the Boston Internation Festival of Women's Cinema last night, and was saddened to hear Ms. Troche tell us (in her Q&A after the screening) that she doesn't expect to see too much US distribution, due to her insistence on including all of the so-called \gay content\"". It was a FANTASTICALLY entertaining comedy"," and it just seems to me that American audiences might enjoy it in much the same way they enjoyed \""The Full Monty\""", so it's really unfortunate and kind of ridiculous that a few shots of two boys kissing is keeping it away from mainstream theaters. Wonderful cast, FABULOUS script, and of course," Rose Troche's direction make this one of the funniest films I've seen.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892_10,"I don't know what some people were thinking when they said this movie was bad. It Was Great. Classic Bruce Campbell, yes it was low budget and the special effect showed this but that is not what you see a Bruce movie for you watch it for Bruce. Also Ted Rami was excellent. I found this movie hilarious and entertaining I still crack up when I recall Bruce on that pink moped. Now I will admit this movie is not for everyone if you don't like B movies you probably won't like this one if you crave big budget effects and actors steer clear. But if you like slap stick and off the wall sci-fi plots this movie is for you.<br /><br />Hail The King Baby!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4617_1,"One of the scariest movies I have ever seen was Carrie (the first one!). Now, as with other movies, they have totally ruined the Carrie franchise with The Rage: Carrie 2. From the beginnning, the movie plods along like geriatics in a beat-up van. There are hardly any scares and this movie is chock-full of all the various high-school sterotypes (i.e. the football jock, the bitchy cheer-leader, the followers and of course the black nailpolish wearing misfits). Another sad thing about this show is that you know what's going to happen the moment you see the opening credits. Sure, sure, girl gets humilated thourghly and then turns into crazed psychic murderer...yawn...<br /><br />Been there. Done that.<br /><br />Even the actors look like they were forced into doing this movie. Emily Bergl is as frightening as a cabbage patch doll while Jack London... let's just say i didn't pay to see wood act. Apart from the actors, the flasbacks serve more to irritate than to link up with the first movie.<br /><br />Bottom line, If you can beam objects around like Carrie, then for the love of God beam yourself out of that theatre......",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893_8,"I was fortunate enough to catch a midnight screening of this movie tonight. I must say, I was expecting a horribly cheap movie with bad acting and a mediocre plot. I was completely mistaken. This movie was not only incredibly entertaining, but everything about it I simply loved. Bruce Campbell was as amazing as ever. The biggest surprise was none other than Ted Raimi, you know, Sam's little brother. He played the mad doctor's henchman to the greatest extent. Somewhere between physical comedy and clever dialogue, he did nothing but shine. But i really cannot ignore the magic that is Bruce Campbell. Though I did think that Ted Raimi stole the show, Bruce did what he does best on the big screen. Somewhere between the sketchy nasty American business man and the tragic victim, he displayed the same energy that he has always shown to be incredibly attractive to audiences. The movie itself was often interrupted by applause from the viewers. The crowd was definitely excited with each little turn that the movie took.<br /><br />This movie may not be Oscar material, but my goodness, it was amazing. I would highly recommend this to any Bruce Campbell fan. Also, anybody that likes campy sci-fi movies, do yourself a favor and watch this. Can't wait till this makes it out to DVD.<br /><br />Take it as you want to....<br /><br />- the fed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5435_1,"Anyone who has seen the piece of steaming smelly poo called Congo understands my title. And I feel for you. This movie wasn't just bad. It was painful. The book was stupid, the script was even dumber and the cast was terrible. Dylan Walsh? Rumor has it Julia Roberts dumped your ass cause this movie blew so bad. Huge diamonds? Killer gorillas? Talking gorillas? Hmmm. Sounds like a hit! OH! Tim Curry's accent is so bad in this movie I would prefer being deaf! I recommend this movie to bulimics looking to purge after a heavy meal or Kavorkian patients who just need that one more reason to die. If this is faithful to the book, I would say lets have us a good old fashion Footloose book burning and destroy every copy. If future generations look back and find this garbage, how would we explain ourselves? Listen to the others who hated this movie! Don't watch it! Run away! DO NOT WATCH this movie! If you think it is full of action or suspense or cool effects, YOU ARE WRONG! If you think it blows more cock than Nicole Ritchie, you'd be right. So if you still are going to watch Crapo..,.I Mean Congo, I say do it after you just took 50 Tylenol PM.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162_3,"I just got done watching The Edge of Love (by the way, this is one of the worst titles so far this year) and it felt like a chore. Watching Keira Knightly's unlikable, skeleton-looking character made me cringe even more throughout the coarse of the film.<br /><br />It took me four nights to watch this it was so boring. The only good thing about it was Cillian Murphy. He's always good/believable and is severely under looked in many films. This, however, was just not good enough for him.<br /><br />Apart from the unlikable characters, boring storyline, the plot was also emotionally unsatisfying. I felt like I spent my time watching this for nothing (which I did). I should have done the smart thing and turned it off, but I kept it on out of respect for Cillian Murphy and the great cinematography.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6516_10,"I watched this movie a long time ago, but I've always loved it. The story is about a young girl, Sally O'Moyne who finds out at a young age that when she prays to St. Anne, her prayers are answered, hence her missing lunch pail and a mean neighbor who tattles on her and she prays, that someone should give him a black eye for tattling. Well, a minute later something hits him and he has a black eye. Sally then believes in the power of prayer and decides to use that power for good. She is well known and loved around the neighborhood as she has copybooks/journals filled with all her friends requests to St. Anne.<br /><br />Meanwhile, a local boy returns home from college (I believe) and Sally is awestruck at how much he's grown-up. Sally has a huge crush on him, but is so shy. Should she use her power of prayer to St. Anne for her own selfish desire or just watch as the most popular girls in school try to snare the man of her dreams? This is a fun filled movie with a grandfather who is so charming and Irish, brother's who are hilariously annoying and a sworn Irish neighbor-enemy who spars with grand-pop on an everyday basis. He has his own story of wanting to buy the O'Moynes property which is a little house in the middle of two huge apartment complexes (his own), in other words, the O'Moynes house is an eye-sore to his lovely buildings.<br /><br />This movie is definitely worth a watch and is good enough and rare enough to add to your movie collection. I hope you enjoy!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11588_7,"THE SEA INSIDE a film by Alejandro Amenabar.<br /><br />Almodovar has always single handed the flag for Spanish cinema for years now, out of nowhere came Amenabar reinventing genres and injecting some new blood to the otherwise malfunctioning Spanish industry, now in a big gamble he switches from psychological terror to social drama, well the big ones would be, are audiences ready to embrace the swing and more important can he hold the flag? This is the story of Ramon Sampedro, a sailor that in his twenties was paralyzed from the neck down in an accident at the sea and his fight with the Spanish government for the right to end his life. The story has the traces of an afternoon made for TV melodrama and the only way this is going to work is through words and honest performances and they both come in spades. Mateo Gil and Amenabar co-write in a way where the audience is not meant to be lead blind to a death end but they are encouraged to make up their own minds in the process and that is a brilliant stroke, this is not a movie pro death but a movie in favour of the ultimate illusions of our time LIBERTY. There is a few laughs spare a long the way, like when the church comes home in a wheel chair to deconstruct Sampedro beliefs but is mostly a valley of tears through out, punches coming from all fronts even when you think you are safe his father that to that point didn't make any sense comes up with the most moving line of the entire movie. It is a heartbreaking experience specially when Sampedro seems more full of life than most the people wandering the streets and everyone around him tries to convince him of the wonders of life even those who are helping him to die but when you strip a man of his dreams The film is almost exclusively built on close ups bringing a claustrophobic feeling that makes the audience more sympathetic with Sampedro. That's for the actors a huge challenge that must construct their whole performances with their eyes and the eyes don't lie. Bardem was not granted his second Oscar nomination, probably in favour of Eastwood, but in my opinion he was the only one who could have shadowed Jammie Fox. This role reminds me of the great Gregory Peck in TO KILL A MOCKINGBIRD where the acting looked effortless and I reckon Bardem has reached that status where the line of what is acting and what is real has become completely blur. I was never fond of his early work but since Almodovar's LIVE FLESH he is on a roll, LOS LUNES AL SOL, THE DANCER UPSTAIRS and the Oscar nominated BEFORE THE NIGHT FALLS made him an international star and although he and Banderas come from the same Almodovar background is fascinating to see how different paths they took and how Bardem has now become a real reference for Spanish cinema in the whole world. A golden globe, 14 Goyas, jury prize at Venice and probably an Oscar with permission from THE CHORUS BOYS, Amenabar directs, co-write, edits and puts music to a high caliber drama, he has pull it off what about some Science Fiction now? Whose life is it anyway?****.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006_1,Hey if people thought ed wood was a bad director then they totally have not seen this movie. I mean there were gaping plot holes and under utilized cast. Shoddy special effects. I mean I cant believe that this movie came out from a Hollywood studio. A high school drama club could probably come out with a better product. I mean they had Erika Eleniak who is gorgeous Casper van dien and under rated actor. Their agents should be shot to ask them to sign on to this dribble don't they read scripts. I still cant believe that tiny lister was a survivor in the movie i was banging my head the whole time at why him and not a descendant of van helsing be the last man standing. I am a fan of vampire movies and this is by far the worst they should stake it so that it never sees the light of day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594_4,"I have seen most of John Waters' films. With the exception of several of his very early ones which are not available, I have actually seen just about all of them, so it's obvious I am a big fan and it's certain that I have a high tolerance for the gross and irreverent in his films. While way over the top and disgusting, I adored FEMALE TROUBLE and POLYESTER--two monumental tributes to bad taste and excess that are seriously funny films. So I am certainly NOT squeamish and can take most of what Waters has to offer. However, in PINK FLAMINGOS he has created a film so repellent, so unfunny and so offensive that I couldn't even stand it. In his other films he made before he became more mainstream, they were funny. Yet here, the humor just isn't there as it seems the intent is to shock the viewers and not entertain them in any way. I am glad that after making this film, Waters' sense of humor improved, as Divine consuming dog feces (as in this film) is shocking but not the least bit entertaining. My advice is to skip this film and just pretend it never happened and then watch his infinitely better films of the 70s and 80s.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472_1,"I usually enjoy underground movies and antiheroes but this is a bad joke. I wonder how this can be called a movie. All these people are loosers and the filmmaker doesn't succeed in making them interesting at all. They are not funny, not tragic just plain stupid and boring.<br /><br />May be I missed something but I won't watch it again to find out what. Anybody with a camcorder can do better than that...<br /><br />I give it a 1 for the originality. All the rest is crap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3647_1,"Just do a little research on the making of this film. Something so simple as a Google search. It was funded by the US Army and promoted just in time for the elections. It is a great idea, but I'd much rather see a DOCUMENTARY, not something edited by the Bush Administration and told its reality. The timing of the movie's release, its tone, and the fact that MS&L promoted it, raised questions about the intent of the movie. \According to MS&L Managing Director Joe Gleason", he and his colleagues also deliver key targeted messages about the war in Iraq to specific constituencies,"\"" wrote Eartha Melzer. \""Was the left-leaning art house crowd one of those constituencies? Is the government hiring documentary filmmakers to propagandize the U.S. population? Nobody involved with the film is willing to say who initially put up the money for the film or how they ended up represented by the Army's PR firm.\""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174_7,"I can't believe I rarely ever see this title mentioned by all you eighties horror freaks and I definitely won't be joining all my fellow reviewers here in saying that 'Bloody Birthday' is awful viewing. On the contrary, I enjoyed it very much and I was pleasantly surprised by the ingeniousness and surprise twists it offers. Don't just refer to this film as being 'another 80's slasher' because the victims here are rather unlikely and so are the killers. We're introduced to three cherubic-looking youngsters who were all born during a solar eclipse. At the moment they were delivered, planet Saturn was blocked by both the sun and the moon and, due to this, the kids are emotionless and seemly without conscience. This really starts to show around their tenth birthday as they go on a merciless killing spree.<br /><br />Granted, this stuff is incredibility far-fetched and even slightly offensive but, seriously, who cares? Unlike many other horror films from this period, it at least attempts to bring something original and imaginative. For once, the kids' acting is good and the entire film has a creepy atmosphere and grizzly music. The murders sequences are grim and tense, and it's always eerie to see them getting committed by angel-faced kids. I don't know who hired the 3 kids but they did a good job. Especially the girl and the kid with glasses are highly memorable. The bleak images of the heartless trio remind you of classic highlights, such as 'Village of the Damned', 'The Bad Seed' and 'Children of the Damned'. This film is nowhere near as memorable as these milestones but great fun and not one horror lover will regret watching this. <br /><br />Bloody Birthday was written and directed by Ed Hunt. Not particularly the greatest genius in cinema, but a pleasantly deranged fella who also brought us immensely entertaining cheesefests like 'The Brain' and 'Starship Invasions'. If all this isn't enough to convince you yet, Bloody Birthday has a lot of nudity. And not just any nudity, but a topless dance-act by MTV-VJ Julie Brown. Oh, and keep your eyes open for a completely redundant cameo by Joe Penny, later the star of TV-series 'Jake and the Fatman'. Check it out!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5539_7,"If you're looking for a not-so-serious mob movie, with a female as the lead, you're in the right place. Pfieffer has acted much better than this. You can see she has matured beyond this picture.<br /><br />When I first picked this movie up, I expected Pfeiffer was poorly miscast, however, she plays her mob wife role to the hilt. Not a bad performance from Baldwin, either.<br /><br />If you don't pay attention to the hair, you might enjoy this movie. But don't take it too seriously...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384_10,"I really enjoyed North and South very much. I think it is one of the best and most lavish television series I have ever seen. The calibre of the cast is amazing, you have actors from \the golden age of cinema\""", people like James Stewart, Gene Kelly, Elizabeth Taylor, Robert Mitchum and Jean Simmons with other actors who were the new faces of the 80's like Patrick Swayze, James Read, Jonathan Frakes, Genie Francis, Philip Casnoff and Lesley-Anne Down.<br /><br />At the heart of the story is the friendship of two completely different men,there is Orry Main (Patrick Swayze) who is from the south and George Hazard (James Read) who is from the North. Throughout the series, their friendship is continually threatened with the differences in their backgrounds, particularly about the treatment of slaves in the South (especially at Orry's plantation) but when each needs the other, they will forget the arguments and go and help their friend. I really liked the chemistry between the two men and was really interested to see if their friendship could survive the war.<br /><br />I liked how the series showed what life was like before the war so the audience could see what were the factors that lead up to the war, what was going on at the time, then the devastation of a nation that was being torn apart and then the nation having to rebuild the country again. The war scenes were very well choreographed and very realistic to me.<br /><br />I think what is great about it, is it has so many elements running through it, romance, history, battles that would interest most of the audience, there is something for everyone. I particularly enjoyed the romance between Brett (Genie Francis) and Billy (Parker Stevenson/John Stockwell) especially when she stood up to her sister Ashton for the first time. The other romances were interesting as there were not all the same, each had something different to the others which kept me watching particularly the Madeline and Orry story strand to see if they would be together in the end.<br /><br />It is one of the best American mini series that I have watched," the story had the right balance of romance and the more serious history side that was happening in the country at the time but it is paced just right. The characters are very watchable and the locations are beautiful and the music particularly at the start and end of the episode is so toe-tapping good and works with the mood of the story.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3811_4,"I first heard of this movie at the \Flashback Weekend\"" in Chicago 2007 for the \""Nightmare on Elm Street\"". Robert Englund was really talking the movie up and he was great in his part of \""Hatchet\"". The same can be said for Tony Todd. Knowing this is a low budget first time director / writer it delivers every bit as much as the big budget and also cameo laden \""Holloween\"" (2007) remake/re-imagining.<br /><br />Technically it falls short in a couple of places. The alligator attack seen was shoot too dark. When it happened the dark head of the alligator against the swamp clamping on to the black pants became almost invisible. The mood music in the swamp scenes was too loud in volume and canned"," like a bad sitcom. And just like \""Holloween\"" (2007) someone is smart enough to have a gun", but of course shooting the killer is only a pause button for the killer. The ending, well, as soon as I saw where it was going I knew what was going to happen," not very original.<br /><br />The highlights of the movie are the characters and their interactions. Unlike \""Holloween\"" (2007) we got to meet the people and care what happened to them. Ben (Joel Moore"," who is also the lead of \""Spiral\"")the sulking lead and Marcus (\""Not Another Teen Movie\"")as the best friend and funny man to root for during the movie. Shapiro (Joel Murry \""Dharma & Greg\"")"," Jenna (Joleigh Fioreavanti) and Misty (Mercedes McNab of \""Buffy the Vampire Slayer: The Series\"""," \""Angel: The Series\"" and \""The Addams Family\"" movies) give a convoluted reason for topless women. Mr. and Mrs. Permatteo played by television regulars (Richard Riehle \""Grounded for Life\"""," Patrika Darbo \""Step by Step\"")as the older couple that you know don't stand a chance", even the tour guide Shawn (Parry Shen) is a fleshed out character. I hope to see more from all involved in this film, but I think it will play better on home video than in the theater," sorry.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4079_8,"This searing drama based on a true incident concerns several ambitious African nationals who decide to temporarily leave their families by stowing away on an outbound ship. They think that if they successfully make the voyage they can better their lives by making enough money in New York to send for their families. Unfortunately for them, the ship that they select is a rundown Russian freighter which has already been heavily fined at a previous port for harboring stowaways. The captain and the first mate are determined not to let this happen again as their jobs are on the line. The group of blacks begin their harrowing voyage in the cargo hold and are eventually discovered, forced out of hiding and murdered by the ruthless mate (an outstanding performance by Sean Pertwee.) A few (convincingly terrified leader Omar Epps among them) manage to temporarily escape and are mercilessly pursued through the ship with their lives forfeit if they are caught. Altogether a riveting film which will have audiences biting their nails and gritting their teeth wondering how such dire events could take place in modern civilization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179_7,"I got a few laughs out of this one, more than a lot of other so called comedies. The big ship was a knockout and getting to see a lot of it's scenery was fun: as was getting to see some of Dyan Cannon's curves. This wasn't the height of Lemmon's and Mattheau's career, but it wasn't a total dog as some suggest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3069_9,"This probably ranks in my Top-5 list of the funniest movies I've ever seen! I was not a big fan of Robin Hood, or Robin Hood: Prince of Thieves, but this movie was a lot different! It made fun of Robin Hood, and was HILARIOUS! I was extremely pleased with how well it was put together, and how well acted it was! Besides Home Alone, Mrs. Doubtfire, and Houseguest, this was the funniest move I've ever seen! I especially love the song; \We're Men in tights!\"" If you have a good sense of humor"," you'll LOVE this movie!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3769_8,"Uproarious no-brainer comedy in which comedian Mark Blankfield portrays Jekyll as an uptight doctor deeply committed to his research. Once he's snorted his experimental formula, he's turned into the scenery-devouring Hyde, causing no end of problems for everybody around him.<br /><br />I was pleasantly surprised by this one. It has a truly insane, madcap approach; it's full steam ahead with one outrageously stupid yet undeniably hilarious joke after another. Funny lines and sight gags are in abundance; Blankfield plays each role for all it's worth. One highlight has Hyde bursting into song; \Hyde's Got Nothing to Hyde\"" is quite catchy and even now I can still hear it in my head. The climax even goes so far as to spoof old b & w horror films.<br /><br />The supporting cast is quite spirited as well", with Bess Armstrong as the ditzy fiancée Mary, Krista Errickson as the spunky Ivy, and Tim Thomerson as flamboyant fellow doctor Knute Lanyon. I do wish more could have been done with Thomersons' character, as I'm a fan of the man," but it's always nice to see him in something.<br /><br />A large array of familiar faces parade before the camera: Cassandra \""Elvira\"" Peterson", Peter Brocco, Liz Sheridan, George Wendt, Michael Ensign, John Dennis Johnston, Art La Fleur, Lin Shaye, and George Chakiris in a cameo as himself.<br /><br />It goes without saying that if you prefer highbrow, intelligent comedy, you'd better avoid this one at all costs. But for those who enjoy a zany, politically incorrect, gleefully raunchy good time," this just might do the trick.<br /><br />One of the best bits is saved for last.<br /><br />8/10""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9247_10,"All of the trials and tribulations of making a no budget movie right from the mouths of those involved. You feel all of the sweat, guts, determination and dedication Stuie put into this labor of love and the frustration of being left hanging after all his work. The clips of interviews with all involved provides a great flowing narrative and conveys the balls-out, hardcore punk, almost anarchic attitude it took to film \Waldo\"" and subsequently the documentary. Stuie and company deserve all the props in the world for not giving up when the going got tough and getting \""A Texas Tale of Treason\"" out so we can see what it's like for the budding filmmaker on the street!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
